"","nsum","nGene"
"544",2258,678
"545",1602,355
"546",1992,575
"547",1581,436
"548",1521,311
"549",2194,682
"550",3640,1188
"551",1619,389
"552",1975,607
"553",3107,635
"554",1771,510
"555",1613,416
"556",1779,454
"557",1984,612
"558",1681,454
"559",1503,336
"560",1444,322
"561",1515,311
"562",1777,470
"563",3001,970
"564",1840,409
"565",1731,352
"566",1490,346
"567",1453,315
"568",1466,329
"569",1725,510
"570",1490,321
"571",1557,365
"572",1365,310
"573",3028,793
"574",1581,407
"575",1576,385
"576",2060,630
"577",1517,334
"578",1931,507
"579",3903,1107
"580",1485,312
"581",1397,306
"582",5345,1651
"583",2203,715
"584",1686,435
"585",1468,387
"586",1781,490
"587",1900,582
"588",1616,426
"589",1908,500
"590",1972,588
"591",2063,585
"592",1408,353
"593",1467,342
"594",1601,422
"595",1412,342
"596",1591,390
"597",1661,443
"598",1828,567
"599",1525,369
"600",1604,410
"601",1851,562
"602",2130,658
"603",1982,569
"604",1489,306
"605",1460,329
"606",1381,325
"607",1463,378
"608",1656,456
"609",1724,457
"610",2220,735
"611",1457,362
"612",1564,439
"613",2761,886
"614",2204,576
"615",1408,313
"616",1724,463
"617",1533,353
"618",1663,476
"619",1626,412
"620",1498,357
"621",1451,394
"622",2285,834
"623",1414,318
"624",1546,394
"625",1609,389
"626",1457,311
"627",2151,658
"628",1544,409
"629",1912,534
"630",1563,371
"631",1524,405
"632",1395,345
"633",1690,467
"634",2756,837
"635",6729,2105
"636",2633,803
"637",1584,480
"638",1759,436
"639",1697,483
"640",1641,400
"641",6810,1894
"642",1507,332
"643",2131,721
"644",1743,563
"645",7783,2489
"646",1466,341
"647",2684,860
"648",1846,523
"649",1429,328
"650",1972,630
"651",1656,437
"652",4250,1366
"653",1545,388
"654",9814,2885
"655",2291,702
"656",5116,1493
"657",1583,432
"658",2052,629
"659",2116,688
"660",1530,353
"661",1601,461
"662",2105,597
"663",4939,1844
"664",1771,533
"665",2046,655
"666",1512,304
"667",1778,555
"668",1420,317
"669",1581,427
"670",1567,394
"671",1628,437
"672",1431,327
"673",1961,559
"674",1355,342
"675",1962,510
"676",1500,383
"677",1683,393
"678",1754,440
"679",1574,435
"680",1990,552
"681",1308,313
"682",1603,473
"683",2087,605
"684",4062,1175
"685",2236,712
"686",2006,492
"687",1332,305
"688",2168,834
"689",2143,639
"690",1493,365
"691",1945,674
"692",1691,542
"693",1541,336
"694",1558,426
"695",1468,362
"696",1623,406
"697",8231,2695
"698",1686,517
"699",2937,751
"700",1737,475
"701",1921,554
"702",5964,1713
"703",1330,309
"704",1716,552
"705",1583,404
"706",1584,456
"707",2135,665
"708",2007,574
"709",6291,1996
"710",1941,619
"711",1620,387
"712",1951,599
"713",1827,477
"714",2162,606
"715",1483,409
"716",2815,598
"717",1432,381
"718",1331,324
"719",1497,430
"720",1630,467
"721",1741,521
"722",4293,1645
"723",1357,366
"724",1345,376
"725",1921,533
"726",1701,501
"727",1466,383
"728",1773,499
"729",1724,544
"730",1435,388
"731",3741,997
"732",1317,310
"733",1823,572
"734",1922,585
"735",4094,1583
"736",1804,592
"737",1453,385
"738",1330,307
"739",1503,353
"740",1877,599
"741",1405,374
"742",1571,400
"743",1775,619
"744",1921,663
"745",1413,371
"746",1930,550
"747",2163,691
"748",1465,338
"749",2599,886
"750",1466,417
"751",1456,387
"752",1445,317
"753",1781,556
"754",1344,333
"755",1358,347
"756",1934,630
"757",1344,327
"758",2003,737
"759",3197,965
"760",1388,365
"761",1701,486
"762",1459,394
"763",1491,422
"764",1286,354
"765",2170,698
"766",1985,527
"767",2349,751
"768",1367,372
"769",1835,542
"770",1218,312
"771",2066,631
"772",1396,379
"773",2230,559
"774",2915,971
"775",1713,399
"776",1454,486
"777",1974,480
"778",1871,507
"779",1384,420
"780",1583,488
"781",1446,427
"782",1245,347
"783",2181,543
"784",1880,538
"785",1978,518
